Payment_Type,Amount,Vendor_Type,PAN_Available,TDS_Section,TDS_Rate,TDS_Amount
Professional,498789,Individual,No,194J,20,99757.8
Professional,492364,Individual,Yes,194J,10,49236.4
Professional,366871,Company,No,194J,20,73374.2
Contractor,281152,Company,Yes,194C,1,2811.52
Interest,414855,Company,No,194A,20,82971.0
Contractor,129149,Individual,No,194C,20,25829.8
Rent,87864,Company,No,194I,20,17572.8
Salary,111705,Employee,Yes,192,5,5585.25
Professional,159861,Individual,No,194J,20,31972.2
Salary,393219,Employee,No,192,20,78643.8
Salary,163731,Employee,No,192,20,32746.2
Professional,408825,Individual,No,194J,20,81765.0
Interest,327360,Individual,Yes,194A,10,32736.0
Salary,35080,Employee,No,192,20,7016.0
Professional,388726,Company,Yes,194J,10,38872.6
Rent,396121,Individual,No,194I,20,79224.2
Rent,76585,Company,Yes,194I,10,7658.5
Salary,431872,Employee,Yes,192,10,43187.2
Interest,209126,Company,No,194A,20,41825.2
Contractor,297926,Individual,Yes,194C,1,2979.26
Rent,183750,Company,Yes,194I,10,18375.0
Professional,63978,Company,No,194J,20,12795.6
Professional,214581,Individual,No,194J,20,42916.2
Contractor,259024,Company,No,194C,20,51804.8
Interest,307437,Individual,Yes,194A,10,30743.7
Salary,279763,Employee,Yes,192,20,55952.6
Contractor,253637,Individual,Yes,194C,2,5072.74
Contractor,177565,Individual,No,194C,20,35513.0
Contractor,430115,Individual,Yes,194C,1,4301.15
Salary,292021,Employee,No,192,20,58404.2
Contractor,147214,Individual,No,194C,20,29442.8
Professional,151651,Individual,Yes,194J,10,15165.1
Interest,85343,Individual,Yes,194A,10,8534.3
Salary,147766,Employee,No,192,20,29553.2
Contractor,412496,Individual,No,194C,20,82499.2
Salary,309536,Employee,No,192,20,61907.2
Professional,223738,Company,No,194J,20,44747.6
Salary,57333,Employee,Yes,192,30,17199.9
Contractor,73024,Individual,Yes,194C,2,1460.48
Salary,168030,Employee,Yes,192,30,50409.0
Rent,134326,Individual,Yes,194I,10,13432.6
Interest,159786,Company,Yes,194A,10,15978.6
Contractor,152125,Individual,Yes,194C,1,1521.25
Interest,184928,Individual,No,194A,20,36985.6
Professional,203851,Company,No,194J,20,40770.2
Contractor,328359,Company,No,194C,20,65671.8
Professional,492265,Company,No,194J,20,98453.0
Interest,163314,Company,Yes,194A,10,16331.4
Professional,35388,Company,No,194J,20,7077.6
Contractor,402017,Company,Yes,194C,1,4020.17
Interest,352093,Company,Yes,194A,10,35209.3
Interest,346010,Company,No,194A,20,69202.0
Professional,40849,Company,No,194J,20,8169.8
Rent,236109,Individual,No,194I,20,47221.8
Professional,38853,Individual,No,194J,20,7770.6
Professional,341859,Company,Yes,194J,10,34185.9
Interest,156370,Individual,Yes,194A,10,15637.0
Interest,467697,Company,No,194A,20,93539.4
Professional,367172,Individual,No,194J,20,73434.4
Contractor,123925,Company,No,194C,20,24785.0
Interest,444852,Company,Yes,194A,10,44485.2
Professional,361942,Individual,No,194J,20,72388.4
Interest,115737,Company,Yes,194A,10,11573.7
Professional,471402,Company,No,194J,20,94280.4
Rent,20555,Individual,Yes,194I,10,2055.5
Salary,328906,Employee,Yes,192,20,65781.2
Professional,372219,Company,Yes,194J,10,37221.9
Contractor,206668,Individual,Yes,194C,2,4133.36
Professional,102145,Company,No,194J,20,20429.0
Salary,187172,Employee,No,192,20,37434.4
Rent,242239,Company,Yes,194I,10,24223.9
Salary,239809,Employee,Yes,192,20,47961.8
Interest,442644,Company,Yes,194A,10,44264.4
Salary,290546,Employee,No,192,20,58109.2
Rent,372481,Company,No,194I,20,74496.2
Interest,149212,Company,No,194A,20,29842.4
Salary,301688,Employee,No,192,20,60337.6
Professional,212503,Company,No,194J,20,42500.6
Interest,115103,Company,No,194A,20,23020.6
Professional,389872,Individual,Yes,194J,10,38987.2
Interest,309922,Individual,Yes,194A,10,30992.2
Contractor,203608,Company,No,194C,20,40721.6
Contractor,378581,Company,Yes,194C,2,7571.62
Salary,292279,Employee,Yes,192,5,14613.95
Interest,303944,Individual,No,194A,20,60788.8
Contractor,483305,Company,Yes,194C,1,4833.05
Salary,242189,Employee,No,192,20,48437.8
Rent,23749,Individual,No,194I,20,4749.8
Rent,151874,Individual,Yes,194I,10,15187.4
Rent,287689,Individual,Yes,194I,10,28768.9
Professional,198748,Individual,Yes,194J,10,19874.8
Salary,442455,Employee,No,192,20,88491.0
Interest,109478,Individual,Yes,194A,10,10947.8
Rent,365427,Company,Yes,194I,10,36542.7
Professional,162986,Individual,Yes,194J,10,16298.6
Professional,467957,Company,No,194J,20,93591.4
Professional,377306,Company,No,194J,20,75461.2
Salary,94812,Employee,Yes,192,5,4740.6
Professional,226566,Individual,Yes,194J,10,22656.6
Professional,220477,Individual,No,194J,20,44095.4
Rent,65498,Individual,No,194I,20,13099.6
Interest,344728,Company,Yes,194A,10,34472.8
Rent,149515,Individual,Yes,194I,10,14951.5
Salary,78700,Employee,No,192,20,15740.0
Professional,69310,Company,Yes,194J,10,6931.0
Professional,136591,Company,No,194J,20,27318.2
Salary,139912,Employee,Yes,192,5,6995.6
Interest,85062,Individual,No,194A,20,17012.4
Salary,280141,Employee,Yes,192,20,56028.2
Contractor,384873,Individual,Yes,194C,1,3848.73
Interest,426228,Individual,Yes,194A,10,42622.8
Professional,341369,Individual,Yes,194J,10,34136.9
Contractor,187305,Company,No,194C,20,37461.0
Salary,77147,Employee,Yes,192,10,7714.7
Professional,232030,Individual,No,194J,20,46406.0
Contractor,62052,Company,No,194C,20,12410.4
Professional,453708,Company,Yes,194J,10,45370.8
Professional,262723,Company,No,194J,20,52544.6
Contractor,163394,Individual,No,194C,20,32678.8
Salary,211678,Employee,No,192,20,42335.6
Contractor,488648,Individual,Yes,194C,1,4886.48
Interest,104195,Company,No,194A,20,20839.0
Contractor,124352,Company,No,194C,20,24870.4
Interest,380384,Individual,No,194A,20,76076.8
Salary,93531,Employee,Yes,192,5,4676.55
Interest,387367,Company,Yes,194A,10,38736.7
Rent,50140,Company,Yes,194I,10,5014.0
Contractor,152382,Company,No,194C,20,30476.4
Salary,417803,Employee,Yes,192,30,125340.9
Contractor,483290,Company,No,194C,20,96658.0
Contractor,149778,Individual,No,194C,20,29955.6
Contractor,280098,Individual,Yes,194C,1,2800.98
Rent,78423,Individual,Yes,194I,10,7842.3
Rent,272214,Company,Yes,194I,10,27221.4
Salary,76254,Employee,Yes,192,20,15250.8
Rent,172764,Company,Yes,194I,10,17276.4
Contractor,248944,Company,No,194C,20,49788.8
Rent,489342,Individual,No,194I,20,97868.4
Interest,395736,Individual,Yes,194A,10,39573.6
Professional,294521,Individual,No,194J,20,58904.2
Rent,453754,Individual,No,194I,20,90750.8
Interest,198789,Company,No,194A,20,39757.8
Contractor,141041,Company,No,194C,20,28208.2
Interest,407345,Individual,No,194A,20,81469.0
Contractor,149329,Individual,No,194C,20,29865.8
Contractor,234700,Company,No,194C,20,46940.0
Rent,67887,Individual,Yes,194I,10,6788.7
Salary,198055,Employee,No,192,20,39611.0
Interest,142922,Individual,Yes,194A,10,14292.2
Interest,313152,Individual,Yes,194A,10,31315.2
Contractor,274497,Company,Yes,194C,2,5489.94
Professional,416996,Individual,No,194J,20,83399.2
Contractor,132753,Individual,No,194C,20,26550.6
Salary,97137,Employee,Yes,192,20,19427.4
Interest,374133,Individual,No,194A,20,74826.6
Interest,24357,Company,Yes,194A,10,2435.7
Contractor,316583,Individual,Yes,194C,1,3165.83
Contractor,169858,Company,Yes,194C,1,1698.58
Professional,355308,Company,Yes,194J,10,35530.8
Contractor,389052,Individual,Yes,194C,2,7781.04
Professional,129401,Company,No,194J,20,25880.2
Contractor,346248,Individual,No,194C,20,69249.6
Salary,288721,Employee,No,192,20,57744.2
Contractor,299582,Company,No,194C,20,59916.4
Contractor,112053,Company,Yes,194C,2,2241.06
Interest,292146,Company,No,194A,20,58429.2
Rent,119009,Individual,No,194I,20,23801.8
Contractor,206933,Company,Yes,194C,1,2069.33
Interest,293645,Individual,Yes,194A,10,29364.5
Rent,228208,Individual,No,194I,20,45641.6
Salary,120998,Employee,No,192,20,24199.6
Interest,466025,Company,Yes,194A,10,46602.5
Salary,351735,Employee,Yes,192,30,105520.5
Professional,480461,Company,No,194J,20,96092.2
Interest,406795,Company,No,194A,20,81359.0
Rent,221406,Company,Yes,194I,10,22140.6
Rent,383276,Company,No,194I,20,76655.2
Professional,45754,Individual,Yes,194J,10,4575.4
Contractor,289462,Individual,Yes,194C,2,5789.24
Interest,109957,Individual,Yes,194A,10,10995.7
Contractor,249853,Individual,Yes,194C,2,4997.06
Salary,108995,Employee,No,192,20,21799.0
Salary,412918,Employee,Yes,192,20,82583.6
Interest,257862,Individual,Yes,194A,10,25786.2
Professional,235693,Individual,No,194J,20,47138.6
Contractor,413106,Individual,No,194C,20,82621.2
Professional,245737,Individual,No,194J,20,49147.4
Interest,206422,Individual,No,194A,20,41284.4
Salary,372838,Employee,No,192,20,74567.6
Salary,369575,Employee,Yes,192,30,110872.5
Salary,41677,Employee,Yes,192,30,12503.1
Rent,101085,Company,No,194I,20,20217.0
Rent,220613,Individual,Yes,194I,10,22061.3
Professional,364532,Individual,Yes,194J,10,36453.2
Contractor,491410,Individual,Yes,194C,2,9828.2
Salary,148927,Employee,No,192,20,29785.4
Interest,405016,Individual,Yes,194A,10,40501.6
Salary,413601,Employee,Yes,192,5,20680.05
Interest,158450,Company,No,194A,20,31690.0
Rent,356567,Company,Yes,194I,10,35656.7
Rent,430182,Individual,Yes,194I,10,43018.2
Salary,201595,Employee,Yes,192,20,40319.0
Rent,265657,Company,No,194I,20,53131.4
Rent,366819,Company,No,194I,20,73363.8
Rent,153152,Individual,Yes,194I,10,15315.2
Contractor,362955,Individual,Yes,194C,1,3629.55
Salary,127004,Employee,Yes,192,10,12700.4
Professional,498810,Individual,No,194J,20,99762.0
Rent,461122,Company,No,194I,20,92224.4
Rent,328148,Individual,No,194I,20,65629.6
Interest,204149,Company,Yes,194A,10,20414.9
Contractor,145463,Company,Yes,194C,1,1454.63
Rent,227749,Company,Yes,194I,10,22774.9
Rent,144498,Individual,No,194I,20,28899.6
Interest,114975,Company,No,194A,20,22995.0
Interest,226445,Company,No,194A,20,45289.0
Interest,334775,Individual,Yes,194A,10,33477.5
Salary,442767,Employee,Yes,192,30,132830.1
Contractor,215926,Company,No,194C,20,43185.2
Interest,324360,Company,Yes,194A,10,32436.0
Contractor,90314,Company,No,194C,20,18062.8
Rent,211808,Individual,Yes,194I,10,21180.8
Contractor,93011,Individual,Yes,194C,1,930.11
Salary,335353,Employee,No,192,20,67070.6
Interest,85164,Company,No,194A,20,17032.8
Interest,158942,Company,No,194A,20,31788.4
Contractor,158698,Individual,Yes,194C,1,1586.98
Interest,313398,Individual,Yes,194A,10,31339.8
Salary,488396,Employee,No,192,20,97679.2
Contractor,380089,Company,Yes,194C,1,3800.89
Rent,496049,Individual,No,194I,20,99209.8
Interest,394046,Individual,No,194A,20,78809.2
Interest,281572,Individual,Yes,194A,10,28157.2
Rent,163250,Individual,No,194I,20,32650.0
Rent,395688,Individual,No,194I,20,79137.6
Rent,79239,Individual,Yes,194I,10,7923.9
Contractor,192238,Company,No,194C,20,38447.6
Contractor,201897,Individual,No,194C,20,40379.4
Rent,105096,Company,No,194I,20,21019.2
Salary,445871,Employee,Yes,192,30,133761.3
Contractor,456468,Individual,Yes,194C,2,9129.36
Rent,234150,Company,No,194I,20,46830.0
Contractor,71808,Company,Yes,194C,2,1436.16
Contractor,335273,Individual,Yes,194C,1,3352.73
Contractor,122809,Individual,No,194C,20,24561.8
Professional,336287,Company,No,194J,20,67257.4
Salary,274925,Employee,Yes,192,10,27492.5
Contractor,345088,Individual,Yes,194C,1,3450.88
Professional,418668,Individual,No,194J,20,83733.6
Interest,93972,Individual,No,194A,20,18794.4
Rent,443452,Company,Yes,194I,10,44345.2
Contractor,140411,Company,No,194C,20,28082.2
Interest,182459,Company,No,194A,20,36491.8
Interest,321973,Company,No,194A,20,64394.6
Contractor,276183,Company,Yes,194C,1,2761.83
Contractor,481992,Company,Yes,194C,2,9639.84
Rent,85734,Individual,No,194I,20,17146.8
Interest,93113,Company,No,194A,20,18622.6
Rent,51883,Company,No,194I,20,10376.6
Professional,246477,Individual,No,194J,20,49295.4
Professional,402868,Company,No,194J,20,80573.6
Rent,228770,Individual,No,194I,20,45754.0
Rent,430916,Individual,No,194I,20,86183.2
Professional,417707,Individual,Yes,194J,10,41770.7
Contractor,493357,Individual,No,194C,20,98671.4
Interest,444247,Individual,Yes,194A,10,44424.7
Professional,494872,Individual,No,194J,20,98974.4
Contractor,152616,Company,No,194C,20,30523.2
Salary,123366,Employee,Yes,192,5,6168.3
Interest,45871,Company,No,194A,20,9174.2
Salary,268490,Employee,No,192,20,53698.0
Contractor,193618,Individual,Yes,194C,2,3872.36
Salary,102903,Employee,No,192,20,20580.6
Contractor,289886,Company,Yes,194C,2,5797.72
Salary,325498,Employee,No,192,20,65099.6
Rent,213945,Individual,No,194I,20,42789.0
Interest,150635,Individual,Yes,194A,10,15063.5
Interest,42010,Company,No,194A,20,8402.0
Professional,218113,Individual,No,194J,20,43622.6
Salary,20804,Employee,Yes,192,30,6241.2
Interest,191786,Company,No,194A,20,38357.2
Contractor,37655,Individual,No,194C,20,7531.0
Salary,237410,Employee,Yes,192,10,23741.0
Salary,59812,Employee,No,192,20,11962.4
Rent,221404,Company,Yes,194I,10,22140.4
Interest,363688,Company,No,194A,20,72737.6
Salary,88055,Employee,No,192,20,17611.0
Rent,386671,Individual,No,194I,20,77334.2
Professional,222421,Individual,No,194J,20,44484.2
Salary,337338,Employee,Yes,192,10,33733.8
Interest,425721,Individual,Yes,194A,10,42572.1
Interest,315705,Individual,No,194A,20,63141.0
Interest,238208,Individual,Yes,194A,10,23820.8
Salary,371894,Employee,Yes,192,30,111568.2
Professional,401510,Company,Yes,194J,10,40151.0
Contractor,74760,Company,Yes,194C,2,1495.2
Rent,242084,Company,Yes,194I,10,24208.4
Interest,419133,Company,No,194A,20,83826.6
Professional,255444,Individual,No,194J,20,51088.8
Rent,243242,Individual,No,194I,20,48648.4
Rent,259295,Company,Yes,194I,10,25929.5
Salary,258836,Employee,No,192,20,51767.2
Professional,424862,Individual,No,194J,20,84972.4
Contractor,438933,Individual,Yes,194C,1,4389.33
Salary,330402,Employee,No,192,20,66080.4
Rent,243445,Company,No,194I,20,48689.0
Contractor,302443,Company,No,194C,20,60488.6
Professional,104903,Individual,No,194J,20,20980.6
Contractor,230156,Company,Yes,194C,2,4603.12
Rent,73382,Company,No,194I,20,14676.4
Salary,43782,Employee,Yes,192,10,4378.2
Salary,204014,Employee,Yes,192,5,10200.7
Professional,499788,Individual,Yes,194J,10,49978.8
Rent,160416,Company,Yes,194I,10,16041.6
Interest,220310,Company,Yes,194A,10,22031.0
Interest,204989,Individual,No,194A,20,40997.8
Salary,201341,Employee,Yes,192,30,60402.3
Interest,387562,Individual,Yes,194A,10,38756.2
Interest,437696,Individual,No,194A,20,87539.2
Rent,223788,Individual,No,194I,20,44757.6
Interest,331355,Individual,Yes,194A,10,33135.5
Interest,360018,Company,Yes,194A,10,36001.8
Salary,82208,Employee,No,192,20,16441.6
Contractor,298323,Individual,Yes,194C,2,5966.46
Salary,123781,Employee,Yes,192,30,37134.3
Rent,53706,Individual,No,194I,20,10741.2
Contractor,202023,Company,Yes,194C,1,2020.23
Interest,29539,Individual,No,194A,20,5907.8
Rent,240299,Individual,No,194I,20,48059.8
Interest,398314,Individual,No,194A,20,79662.8
Salary,387245,Employee,Yes,192,10,38724.5
Salary,186370,Employee,No,192,20,37274.0
Salary,475103,Employee,No,192,20,95020.6
Salary,58844,Employee,No,192,20,11768.8
Contractor,158632,Individual,No,194C,20,31726.4
Salary,344850,Employee,No,192,20,68970.0
Professional,243769,Company,No,194J,20,48753.8
Professional,55816,Company,Yes,194J,10,5581.6
Interest,309950,Individual,No,194A,20,61990.0
Professional,431379,Company,Yes,194J,10,43137.9
Contractor,357192,Company,No,194C,20,71438.4
Professional,177666,Company,Yes,194J,10,17766.6
Interest,337542,Company,No,194A,20,67508.4
Rent,295300,Company,No,194I,20,59060.0
Interest,258177,Individual,Yes,194A,10,25817.7
Contractor,455930,Individual,Yes,194C,1,4559.3
Interest,448179,Company,Yes,194A,10,44817.9
Salary,426539,Employee,No,192,20,85307.8
Interest,44012,Company,No,194A,20,8802.4
Professional,38328,Individual,No,194J,20,7665.6
Professional,22817,Company,Yes,194J,10,2281.7
Interest,336193,Company,No,194A,20,67238.6
Rent,344147,Individual,No,194I,20,68829.4
Salary,245930,Employee,Yes,192,30,73779.0
Salary,383507,Employee,Yes,192,30,115052.1
Interest,129269,Individual,No,194A,20,25853.8
Rent,343373,Company,No,194I,20,68674.6
Contractor,386528,Individual,Yes,194C,1,3865.28
Contractor,128767,Company,No,194C,20,25753.4
Interest,486834,Individual,No,194A,20,97366.8
Contractor,110527,Individual,No,194C,20,22105.4
Interest,399129,Individual,No,194A,20,79825.8
Salary,272540,Employee,Yes,192,30,81762.0
Interest,38725,Individual,Yes,194A,10,3872.5
Professional,273537,Company,Yes,194J,10,27353.7
Salary,311949,Employee,Yes,192,20,62389.8
Interest,234438,Individual,No,194A,20,46887.6
Interest,71801,Company,No,194A,20,14360.2
Interest,100042,Individual,No,194A,20,20008.4
Professional,456290,Individual,Yes,194J,10,45629.0
Interest,241827,Individual,Yes,194A,10,24182.7
Rent,228313,Company,Yes,194I,10,22831.3
Professional,52128,Individual,No,194J,20,10425.6
Professional,495519,Company,Yes,194J,10,49551.9
Rent,196764,Individual,Yes,194I,10,19676.4
Professional,267204,Individual,No,194J,20,53440.8
Rent,337034,Company,Yes,194I,10,33703.4
Interest,190938,Company,No,194A,20,38187.6
Rent,104230,Individual,Yes,194I,10,10423.0
Contractor,285026,Individual,No,194C,20,57005.2
Contractor,44644,Individual,Yes,194C,2,892.88
Contractor,113836,Individual,Yes,194C,1,1138.36
Interest,46351,Company,No,194A,20,9270.2
Rent,494135,Individual,No,194I,20,98827.0
Rent,427231,Individual,No,194I,20,85446.2
Salary,74245,Employee,No,192,20,14849.0
Contractor,146152,Individual,Yes,194C,1,1461.52
Interest,498776,Individual,Yes,194A,10,49877.6
Rent,381852,Individual,Yes,194I,10,38185.2
Interest,89013,Company,Yes,194A,10,8901.3
Professional,143104,Individual,No,194J,20,28620.8
Salary,278511,Employee,No,192,20,55702.2
Interest,324541,Individual,No,194A,20,64908.2
Contractor,63544,Company,No,194C,20,12708.8
Salary,52804,Employee,Yes,192,5,2640.2
Professional,253136,Individual,Yes,194J,10,25313.6
Salary,349415,Employee,Yes,192,5,17470.75
Contractor,380025,Company,No,194C,20,76005.0
Rent,427137,Company,Yes,194I,10,42713.7
Professional,332567,Individual,Yes,194J,10,33256.7
Professional,359004,Company,Yes,194J,10,35900.4
Interest,234875,Company,Yes,194A,10,23487.5
Contractor,157271,Company,Yes,194C,2,3145.42
Salary,257061,Employee,Yes,192,30,77118.3
Contractor,231088,Company,Yes,194C,1,2310.88
Contractor,295572,Company,Yes,194C,1,2955.72
Salary,111601,Employee,Yes,192,30,33480.3
Contractor,338965,Individual,No,194C,20,67793.0
Rent,78348,Individual,No,194I,20,15669.6
Professional,263931,Individual,No,194J,20,52786.2
Professional,462082,Individual,Yes,194J,10,46208.2
Rent,301013,Company,Yes,194I,10,30101.3
Salary,29863,Employee,Yes,192,30,8958.9
Professional,111926,Company,No,194J,20,22385.2
Salary,169370,Employee,No,192,20,33874.0
Salary,66192,Employee,Yes,192,10,6619.2
Professional,381050,Individual,No,194J,20,76210.0
Professional,176917,Individual,No,194J,20,35383.4
Rent,194007,Individual,No,194I,20,38801.4
Salary,168815,Employee,No,192,20,33763.0
Rent,439157,Individual,Yes,194I,10,43915.7
Professional,226470,Company,No,194J,20,45294.0
Contractor,428254,Company,No,194C,20,85650.8
Rent,423168,Company,Yes,194I,10,42316.8
Salary,310372,Employee,Yes,192,30,93111.6
Salary,155632,Employee,No,192,20,31126.4
Salary,422867,Employee,No,192,20,84573.4
Professional,127374,Individual,No,194J,20,25474.8
Rent,441070,Individual,Yes,194I,10,44107.0
Contractor,31372,Individual,No,194C,20,6274.4
Contractor,96177,Individual,No,194C,20,19235.4
Salary,431377,Employee,Yes,192,5,21568.85
Rent,388290,Company,No,194I,20,77658.0
Contractor,267695,Individual,Yes,194C,1,2676.95
Interest,323733,Individual,No,194A,20,64746.6
Contractor,499199,Individual,No,194C,20,99839.8
Contractor,405641,Individual,No,194C,20,81128.2
Rent,77539,Company,Yes,194I,10,7753.9
Contractor,145234,Company,No,194C,20,29046.8
Rent,350975,Individual,Yes,194I,10,35097.5
Professional,271905,Individual,No,194J,20,54381.0
Salary,309033,Employee,No,192,20,61806.6
Interest,78734,Individual,Yes,194A,10,7873.4
Salary,292932,Employee,No,192,20,58586.4
Interest,319834,Company,Yes,194A,10,31983.4
Salary,354402,Employee,No,192,20,70880.4
Professional,170508,Individual,No,194J,20,34101.6
Interest,335063,Company,No,194A,20,67012.6
Contractor,220438,Individual,No,194C,20,44087.6
Professional,235043,Individual,Yes,194J,10,23504.3
Contractor,146709,Company,No,194C,20,29341.8
Professional,456291,Company,No,194J,20,91258.2
Professional,274584,Individual,Yes,194J,10,27458.4
Contractor,239717,Company,No,194C,20,47943.4
Salary,387018,Employee,No,192,20,77403.6
Professional,199954,Company,No,194J,20,39990.8
Professional,334694,Company,Yes,194J,10,33469.4
Contractor,400880,Individual,Yes,194C,2,8017.6
Interest,466907,Individual,Yes,194A,10,46690.7
Interest,378999,Company,No,194A,20,75799.8
Professional,402076,Company,No,194J,20,80415.2
Salary,360300,Employee,No,192,20,72060.0
Rent,149554,Company,Yes,194I,10,14955.4
Rent,288378,Company,No,194I,20,57675.6
Interest,316167,Individual,No,194A,20,63233.4
Professional,325582,Company,No,194J,20,65116.4
Interest,156133,Individual,No,194A,20,31226.6
Rent,197374,Company,No,194I,20,39474.8
Interest,212377,Company,Yes,194A,10,21237.7
Interest,281778,Company,Yes,194A,10,28177.8
Professional,182271,Individual,No,194J,20,36454.2
Professional,491134,Individual,No,194J,20,98226.8
Contractor,197719,Individual,Yes,194C,1,1977.19
Salary,104625,Employee,Yes,192,5,5231.25
Professional,183378,Company,No,194J,20,36675.6
Salary,443354,Employee,Yes,192,30,133006.2
Professional,402023,Individual,Yes,194J,10,40202.3
Professional,145301,Individual,Yes,194J,10,14530.1
Professional,37273,Individual,No,194J,20,7454.6
Interest,116406,Company,Yes,194A,10,11640.6
Salary,58158,Employee,Yes,192,30,17447.4
Interest,260769,Individual,No,194A,20,52153.8
Contractor,44510,Company,No,194C,20,8902.0
Interest,166137,Company,Yes,194A,10,16613.7
Rent,306858,Individual,No,194I,20,61371.6
Interest,210025,Company,Yes,194A,10,21002.5
Professional,281923,Company,No,194J,20,56384.6
Salary,407769,Employee,Yes,192,10,40776.9
Interest,397161,Company,Yes,194A,10,39716.1
Professional,374263,Company,No,194J,20,74852.6
Professional,491858,Company,No,194J,20,98371.6
Salary,191763,Employee,No,192,20,38352.6
Contractor,275338,Individual,No,194C,20,55067.6
Professional,145539,Company,Yes,194J,10,14553.9
Interest,353359,Company,No,194A,20,70671.8
Professional,366317,Individual,Yes,194J,10,36631.7
Contractor,90993,Company,No,194C,20,18198.6
Contractor,232167,Individual,Yes,194C,1,2321.67
Interest,103660,Individual,Yes,194A,10,10366.0
Rent,217366,Company,Yes,194I,10,21736.6
Contractor,302656,Company,Yes,194C,1,3026.56
Contractor,282849,Company,Yes,194C,2,5656.98
Salary,37947,Employee,Yes,192,30,11384.1
Rent,375650,Individual,Yes,194I,10,37565.0
Professional,33368,Company,Yes,194J,10,3336.8
Rent,81045,Company,Yes,194I,10,8104.5
Interest,452408,Company,No,194A,20,90481.6
Rent,244108,Individual,No,194I,20,48821.6
Interest,133012,Individual,Yes,194A,10,13301.2
Professional,298147,Company,No,194J,20,59629.4
Contractor,430079,Individual,Yes,194C,1,4300.79
Contractor,413583,Individual,No,194C,20,82716.6
Professional,254833,Individual,No,194J,20,50966.6
Professional,367909,Company,No,194J,20,73581.8
Interest,31634,Individual,Yes,194A,10,3163.4
Salary,94444,Employee,Yes,192,20,18888.8
Professional,404240,Company,Yes,194J,10,40424.0
Professional,493982,Individual,No,194J,20,98796.4
Contractor,20154,Company,No,194C,20,4030.8
Interest,57224,Individual,No,194A,20,11444.8
Contractor,328323,Individual,No,194C,20,65664.6
Contractor,129408,Individual,No,194C,20,25881.6
Salary,256118,Employee,Yes,192,10,25611.8
Salary,225147,Employee,Yes,192,20,45029.4
Rent,83466,Individual,No,194I,20,16693.2
Contractor,260934,Individual,Yes,194C,2,5218.68
Contractor,404618,Company,No,194C,20,80923.6
Contractor,177947,Company,Yes,194C,2,3558.94
Contractor,426058,Company,No,194C,20,85211.6
Professional,176103,Individual,Yes,194J,10,17610.3
Rent,446053,Individual,Yes,194I,10,44605.3
Professional,204474,Individual,No,194J,20,40894.8
Salary,143302,Employee,Yes,192,5,7165.1
Professional,383958,Company,No,194J,20,76791.6
Rent,413470,Individual,No,194I,20,82694.0
Professional,327711,Company,No,194J,20,65542.2
Contractor,45160,Company,No,194C,20,9032.0
Contractor,319812,Individual,No,194C,20,63962.4
Professional,350493,Individual,No,194J,20,70098.6
Rent,456123,Company,Yes,194I,10,45612.3
Interest,109095,Company,Yes,194A,10,10909.5
Contractor,189443,Company,Yes,194C,1,1894.43
Professional,293545,Company,Yes,194J,10,29354.5
Professional,194174,Company,Yes,194J,10,19417.4
Professional,179843,Individual,Yes,194J,10,17984.3
Rent,309782,Individual,Yes,194I,10,30978.2
Salary,84132,Employee,No,192,20,16826.4
Professional,486802,Individual,Yes,194J,10,48680.2
Rent,106189,Individual,No,194I,20,21237.8
Professional,232122,Company,No,194J,20,46424.4
Professional,127002,Individual,No,194J,20,25400.4
Professional,296252,Company,No,194J,20,59250.4
Salary,28466,Employee,No,192,20,5693.2
Salary,311382,Employee,No,192,20,62276.4
Salary,48194,Employee,Yes,192,10,4819.4
Rent,320568,Individual,No,194I,20,64113.6
Professional,479657,Company,Yes,194J,10,47965.7
Rent,178421,Individual,Yes,194I,10,17842.1
Rent,103340,Individual,Yes,194I,10,10334.0
Salary,306301,Employee,Yes,192,10,30630.1
Rent,78722,Company,Yes,194I,10,7872.2
Interest,40853,Company,No,194A,20,8170.6
Rent,236006,Company,Yes,194I,10,23600.6
Contractor,65813,Company,No,194C,20,13162.6
Salary,231670,Employee,Yes,192,20,46334.0
Interest,449674,Individual,Yes,194A,10,44967.4
Rent,204308,Individual,No,194I,20,40861.6
Interest,246148,Individual,Yes,194A,10,24614.8
Professional,289361,Company,No,194J,20,57872.2
Interest,284997,Company,Yes,194A,10,28499.7
Interest,407826,Company,Yes,194A,10,40782.6
Salary,47853,Employee,No,192,20,9570.6
Professional,351503,Individual,Yes,194J,10,35150.3
Professional,93537,Company,Yes,194J,10,9353.7
Rent,451429,Company,No,194I,20,90285.8
Contractor,228043,Company,No,194C,20,45608.6
Contractor,155626,Company,No,194C,20,31125.2
Rent,124953,Company,Yes,194I,10,12495.3
Interest,313756,Company,No,194A,20,62751.2
Professional,58651,Individual,Yes,194J,10,5865.1
Rent,412504,Company,No,194I,20,82500.8
Salary,465989,Employee,No,192,20,93197.8
Salary,313073,Employee,No,192,20,62614.6
Contractor,204715,Individual,No,194C,20,40943.0
Rent,462229,Company,Yes,194I,10,46222.9
Contractor,464267,Company,No,194C,20,92853.4
Interest,248096,Company,Yes,194A,10,24809.6
Interest,153164,Individual,No,194A,20,30632.8
Contractor,81143,Company,No,194C,20,16228.6
Contractor,330448,Individual,Yes,194C,2,6608.96
Contractor,447918,Individual,Yes,194C,2,8958.36
